,repo_id,record_num,year_month,community
0,65711522,43,2016-11,Paddle
1,65711522,144,2016-12,Paddle
2,76616099,5,2016-12,
3,75804012,2,2016-12,
4,75261722,1,2016-12,
5,75912778,1,2016-12,
6,65711522,66,2017-01,Paddle
7,76616099,27,2017-01,
8,78274119,1,2017-01,
9,65711522,63,2017-02,Paddle
10,76616099,11,2017-02,
11,65711522,123,2017-03,Paddle
12,76616099,121,2017-03,
13,78517160,1,2017-03,
14,65711522,93,2017-04,Paddle
15,76616099,33,2017-04,
16,88829446,11,2017-04,
17,88800008,3,2017-04,
18,89484677,2,2017-04,
19,88868842,2,2017-04,models
20,78517160,1,2017-04,
21,65711522,130,2017-05,Paddle
22,89484677,47,2017-05,
23,88868842,12,2017-05,models
24,76616099,10,2017-05,
25,88800008,2,2017-05,
26,65711522,124,2017-06,Paddle
27,88868842,41,2017-06,models
28,89484677,33,2017-06,
29,93210289,6,2017-06,
30,76616099,5,2017-06,
31,65711522,178,2017-07,Paddle
32,89484677,30,2017-07,
33,88868842,19,2017-07,models
34,76616099,7,2017-07,
35,79296035,2,2017-07,
36,93210289,1,2017-07,
37,98599362,1,2017-07,
38,65711522,233,2017-08,Paddle
39,89484677,30,2017-08,
40,88868842,24,2017-08,models
41,101101544,16,2017-08,
42,98599362,1,2017-08,
43,99488243,1,2017-08,
44,93210289,1,2017-08,
45,79296035,1,2017-08,
46,98356563,1,2017-08,
47,65711522,240,2017-09,Paddle
48,88868842,60,2017-09,models
49,76616099,42,2017-09,
50,103466347,35,2017-09,
51,89484677,3,2017-09,
52,98599362,3,2017-09,
53,101101544,2,2017-09,
54,79296035,1,2017-09,
55,65711522,333,2017-10,Paddle
56,103466347,85,2017-10,
57,89484677,23,2017-10,
58,88868842,21,2017-10,models
59,101101544,12,2017-10,
60,98599362,7,2017-10,
61,103829150,4,2017-10,
62,105948868,3,2017-10,
63,76616099,1,2017-10,
64,88800008,1,2017-10,
65,65711522,321,2017-11,Paddle
66,103466347,55,2017-11,
67,88868842,52,2017-11,models
68,89484677,27,2017-11,
69,110688239,16,2017-11,
70,101101544,13,2017-11,
71,98599362,6,2017-11,
72,76616099,5,2017-11,
73,109658668,3,2017-11,
74,105948868,3,2017-11,
75,98356563,1,2017-11,
76,65711522,287,2017-12,Paddle
77,88868842,21,2017-12,models
78,98599362,14,2017-12,
79,110688239,12,2017-12,
80,114885555,12,2017-12,
81,103466347,11,2017-12,
82,101101544,7,2017-12,
83,89484677,6,2017-12,
84,75261722,5,2017-12,
85,88800008,2,2017-12,
86,76616099,2,2017-12,
87,105948868,1,2017-12,
88,65711522,328,2018-01,Paddle
89,114885555,103,2018-01,
90,88868842,24,2018-01,models
91,89484677,19,2018-01,
92,103466347,10,2018-01,
